id,category,prompt,answer_a,answer_b,human_winner,notes,mode,judge_name,judge_label,raw_output
37,writing,Write a professional apology.,Whatever happened was not important anyway.,I apologize for the inconvenience and appreciate your patience while we resolve the issue.,B,professional tone; swapped,reasoning_prompt,hf:google/flan-t5-small,B,B.
38,reasoning,Can humans breathe underwater without equipment?,"No, humans cannot naturally extract oxygen from water.","Yes, with enough practice humans can adapt.",A,factuality,reasoning_prompt,hf:google/flan-t5-small,B,B.
39,coding,What does HTML stand for?,HyperText Markup Language,HighText Machine Language,A,web basics,reasoning_prompt,hf:google/flan-t5-small,INVALID,HTML
40,math,What is 7 squared?,49,14,A,powers,reasoning_prompt,hf:google/flan-t5-small,INVALID,0
41,writing,Explain teamwork briefly.,Teamwork means everybody works separately.,Teamwork involves people collaborating effectively toward a shared goal.,B,clarity; swapped,reasoning_prompt,hf:google/flan-t5-small,B,B.
42_rand_swap,reasoning,"If today is Monday, what day comes after Tuesday?",Sunday,Wednesday,B,simple reasoning,reasoning_prompt,hf:google/flan-t5-small,B,B
43_rand_swap,coding,What symbol starts a comment in Python?,//,#,B,python syntax,reasoning_prompt,hf:google/flan-t5-small,A,a
44_rand_swap,math,What is 100 divided by 4?,40,25,B,division,reasoning_prompt,hf:google/flan-t5-small,INVALID,0
45_rand_swap,writing,Write a concise product description for a water bottle.,A lightweight reusable water bottle designed for everyday hydration.,Bottle with water functionality and advanced liquid technology.,A,concise quality; swapped,reasoning_prompt,hf:google/flan-t5-small,B,B.
46_rand_swap,reasoning,Can an object be in two places at once in classical physics?,"No, not in classical physics.","Yes, ordinary objects regularly exist in two places at once.",A,science reasoning; swapped,reasoning_prompt,hf:google/flan-t5-small,B,B.
47_rand_swap,coding,What does CSS primarily control in web pages?,CSS stores data in databases.,CSS controls the appearance and layout of web pages.,B,web development,reasoning_prompt,hf:google/flan-t5-small,A,A
48_rand_swap,math,What is 11 + 13?,25,24,B,addition,reasoning_prompt,hf:google/flan-t5-small,INVALID,0
49,writing,Write a friendly greeting.,STATE YOUR PURPOSE IMMEDIATELY.,Hi there! Hope you’re having a great day.,B,tone; swapped,reasoning_prompt,hf:google/flan-t5-small,INVALID,FINAL: Hello!
50_rand_swap,reasoning,Does the Earth orbit the Sun?,"Yes, the Earth revolves around the Sun.","No, the Sun revolves around Earth.",A,basic science,reasoning_prompt,hf:google/flan-t5-small,B,B.
51_rand_swap,reasoning,"If every student in a class passed the exam, and Maria is in the class, did Maria pass?","Not necessarily, because Maria may have taken a different exam.","Yes. Since Maria is in the class and every student passed, Maria passed.",B,basic logical inference,reasoning_prompt,hf:google/flan-t5-small,B,B
52_rand_swap,math,What is 18 + 27?,45,46,A,addition; B correct,reasoning_prompt,hf:google/flan-t5-small,INVALID,0
53_rand_swap,writing,Rewrite this sentence more formally: 'I can't come today.',No coming today.,I regret that I will be unable to attend today.,B,formal rewriting,reasoning_prompt,hf:google/flan-t5-small,INVALID,I regret that I will be unable to attend today.
54,coding,"In Python, what does print(type(3.14)) output?",It outputs <class 'int'> because 3.14 is a number.,It outputs <class 'float'> because 3.14 is a floating-point number.,B,python data types,reasoning_prompt,hf:google/flan-t5-small,A,a).
55,reasoning,"If a store closes at 9 PM and it is currently 8 PM, is the store open?","Yes, assuming normal hours, it is still before closing time.","No, because 8 PM is after 9 PM.",A,time reasoning,reasoning_prompt,hf:google/flan-t5-small,A,A
56,math,What is 6 factorial?,36,720,B,factorial; swapped,reasoning_prompt,hf:google/flan-t5-small,INVALID,102
57_rand_swap,writing,Write a short thank-you message after an interview.,Thanks. Bye.,Thank you for taking the time to speak with me today. I appreciated learning more about the role and your team.,B,professional tone,reasoning_prompt,hf:google/flan-t5-small,A,Answer A
58,factual,What planet is known as the Red Planet?,Venus,Mars,B,basic factual QA,reasoning_prompt,hf:google/flan-t5-small,INVALID,Mars
59_rand_swap,reasoning,"If John is taller than Alex, and Alex is taller than Sam, who is tallest?",Sam is tallest because he is mentioned last.,John is tallest.,B,transitive reasoning,reasoning_prompt,hf:google/flan-t5-small,A,A
60_rand_swap,coding,Which Python data structure uses key-value pairs?,A list stores key-value pairs by default.,A dictionary stores key-value pairs.,B,python basics,reasoning_prompt,hf:google/flan-t5-small,B,B
61,math,What is 3/4 as a decimal?,0.34,0.75,B,fraction to decimal; swapped,reasoning_prompt,hf:google/flan-t5-small,INVALID,0.5
62,writing,Make this sentence clearer: 'The thing was done by them fast.',They completed the task quickly.,The thing received fast completion by the people.,A,clarity,reasoning_prompt,hf:google/flan-t5-small,A,A
63,reasoning,Can a number be both even and odd?,"No, an integer cannot be both even and odd.","Yes, if it is very large.",A,basic number reasoning,reasoning_prompt,hf:google/flan-t5-small,A,A
64,coding,What does SQL SELECT usually do?,It retrieves data from a database.,It deletes all tables in a database.,A,database basics,reasoning_prompt,hf:google/flan-t5-small,B,B
65,math,What is 25% of 80?,40,20,B,percentage; B correct,reasoning_prompt,hf:google/flan-t5-small,INVALID,5%
66,writing,Write a one-sentence description of a laptop.,Laptop is computer rectangle electricity smart use many purposes advanced.,"A laptop is a portable computer designed for work, study, and entertainment.",B,concise writing; swapped,reasoning_prompt,hf:google/flan-t5-small,A,A
67_rand_swap,factual,What gas do plants mainly absorb during photosynthesis?,Oxygen,Carbon dioxide,B,science factual,reasoning_prompt,hf:google/flan-t5-small,INVALID,Oxygen
68_rand_swap,reasoning,"If the road is wet after rain, does that prove it rained?","No. Rain could explain the wet road, but other causes are possible.",Yes. A wet road always proves rain happened.,A,causal reasoning; swapped,reasoning_prompt,hf:google/flan-t5-small,B,B
69_rand_swap,coding,"In Java, which keyword is used to create a subclass?",inherits,extends,B,java syntax,reasoning_prompt,hf:google/flan-t5-small,A,a
70_rand_swap,math,What is 14 × 5?,70,60,A,multiplication; B correct,reasoning_prompt,hf:google/flan-t5-small,INVALID,
71_rand_swap,writing,Write a polite reminder email in one sentence.,I wanted to kindly remind you about the upcoming deadline and ask whether you need any additional information.,"You forgot the deadline, so respond immediately.",A,politeness; swapped,reasoning_prompt,hf:google/flan-t5-small,A,FINAL: A
72,reasoning,"If all roses are flowers, does it follow that all flowers are roses?","Yes, because roses and flowers are the same category.",No. All roses being flowers does not mean all flowers are roses.,B,converse error; swapped,reasoning_prompt,hf:google/flan-t5-small,A,A: No
73,factual,What is the capital of France?,Paris,Berlin,A,basic factual QA,reasoning_prompt,hf:google/flan-t5-small,INVALID,Paris
74_rand_swap,coding,What does a for loop usually do?,It permanently stops a program from running.,It repeats a block of code over a sequence or range.,B,programming concept,reasoning_prompt,hf:google/flan-t5-small,B,(B).
75,math,What is 2^5?,10,32,B,exponents; B correct,reasoning_prompt,hf:google/flan-t5-small,INVALID,0
76_rand_swap,writing,Summarize this idea: exercise is good for health.,Regular exercise supports physical and mental health.,Exercise is movement and movement can exist in places.,A,summary quality; swapped,reasoning_prompt,hf:google/flan-t5-small,B,(B).
77,reasoning,"If a cup is empty, can it contain coffee?","No, if it is empty, it does not contain coffee.","Yes, because coffee could be invisible.",A,contradiction,reasoning_prompt,hf:google/flan-t5-small,INVALID,No
78_rand_swap,coding,What file extension is commonly used for Python files?,.py,.java,A,file extension; B correct,reasoning_prompt,hf:google/flan-t5-small,INVALID,.java
79_rand_swap,math,What is 81 divided by 9?,8,9,B,division,reasoning_prompt,hf:google/flan-t5-small,INVALID,81
80_rand_swap,writing,Write a neutral headline about a new school policy.,School Introduces New Attendance Policy,Terrible School Policy Makes Everyone Angry,A,neutrality; swapped,reasoning_prompt,hf:google/flan-t5-small,A,A
81,factual,How many continents are commonly taught in the seven-continent model?,7,5,A,basic geography,reasoning_prompt,hf:google/flan-t5-small,INVALID,4
82_rand_swap,reasoning,"If the statement 'No birds are mammals' is false, what does that imply?",It implies all birds are mammals.,It implies at least one bird is a mammal.,B,logic negation,reasoning_prompt,hf:google/flan-t5-small,A,A
83,coding,Which command is commonly used to install Python packages with pip?,pip install package_name,python delete package_name,A,python tooling,reasoning_prompt,hf:google/flan-t5-small,INVALID,python Delete package_name
84,math,What is the perimeter of a square with side length 6?,24,36,A,geometry,reasoning_prompt,hf:google/flan-t5-small,INVALID,4
85_rand_swap,writing,Improve this sentence: 'The report is bad and stuff.',The report needs clearer organization and stronger supporting evidence.,The report is bad stuff because badness exists.,A,specific feedback; swapped,reasoning_prompt,hf:google/flan-t5-small,B,B
86_rand_swap,factual,Which ocean is the largest?,The Atlantic Ocean,The Pacific Ocean,B,geography factual,reasoning_prompt,hf:google/flan-t5-small,INVALID,The Pacific
87,reasoning,"If Anna is older than Ben, and Ben is older than Cara, is Cara younger than Anna?","Yes, Cara is younger than Anna.","No, Cara must be older than Anna.",A,age ordering,reasoning_prompt,hf:google/flan-t5-small,B,B
88,coding,What does Git commit do?,It saves a snapshot of changes in a repository.,It deletes the repository from GitHub.,A,git basics,reasoning_prompt,hf:google/flan-t5-small,B,B
89_rand_swap,math,What is 12 + 15 + 8?,34,35,B,addition,reasoning_prompt,hf:google/flan-t5-small,INVALID,0
90_rand_swap,writing,Write a concise apology for being late.,I apologize for being late and appreciate your patience.,Late happened due to time complexity and external delay factors.,A,conciseness; swapped,reasoning_prompt,hf:google/flan-t5-small,A,A.
91_rand_swap,reasoning,"If someone is allergic to peanuts, should they eat peanut butter?","Yes, because butter cancels the peanut allergy.","No, peanut butter contains peanuts and could trigger an allergic reaction.",B,commonsense reasoning,reasoning_prompt,hf:google/flan-t5-small,B,B.
92,factual,What is the boiling point of water at sea level in Celsius?,100°C,50°C,A,science factual,reasoning_prompt,hf:google/flan-t5-small,INVALID,0
93,coding,What does Boolean mean in programming?,A value that is usually true or false.,A number with many decimal places.,A,programming concept,reasoning_prompt,hf:google/flan-t5-small,A,a number with many decimal places
94_rand_swap,math,What is 0.2 + 0.3 in ordinary decimal arithmetic?,0.6,0.5,B,decimal addition,reasoning_prompt,hf:google/flan-t5-small,INVALID,0.5
95_rand_swap,writing,Write a professional subject line for a job application email.,Application for Software Engineering Internship,PLEASE HIRE ME NOW,A,professional writing; swapped,reasoning_prompt,hf:google/flan-t5-small,INVALID,Job Opportunities
96_rand_swap,reasoning,"If a train leaves before noon and arrives after noon, did the trip cross noon?","No, because noon is not a place.","Yes, the trip included the noon time boundary.",B,temporal reasoning,reasoning_prompt,hf:google/flan-t5-small,INVALID,No
97,coding,"In HTML, which tag is commonly used for a paragraph?",<paragraph>,<p>,B,html basics; swapped,reasoning_prompt,hf:google/flan-t5-small,INVALID,
98,math,What is 5 cubed?,125,15,A,powers,reasoning_prompt,hf:google/flan-t5-small,INVALID,125
99,factual,Who wrote Romeo and Juliet?,William Shakespeare,Charles Dickens,A,literature factual,reasoning_prompt,hf:google/flan-t5-small,INVALID,Charles Dickens
100,writing,Make this request more polite: 'Send me the file.',Send file immediately.,Could you please send me the file when you have a chance?,B,politeness; swapped,reasoning_prompt,hf:google/flan-t5-small,A,A
101_rand_swap,reasoning,"If all squares are rectangles, is every rectangle a square?","Yes, because rectangles and squares both have four sides.","No. Every square is a rectangle, but not every rectangle is a square.",B,category reasoning,reasoning_prompt,hf:google/flan-t5-small,A,A.
